Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Project Reporting Coordinator,2025-02-27,https://jobright.ai/jobs/info/67c0d4765091b259c0a9dcab?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Greater Boston
San Francisco Bay Area",Genedata,51-100,"Biotechnology,Industrial Automation",$55K-$65K /yr,"1. Bachelor’s degree and business mindset
2. Experience with contract services and revenue accounting practices
3. Excellent planning, organization, and project management skills
4. Good communication and presentation skills
5. Analytical mindset
...",no,
"Professional Services Project Manager, Associate",2025-02-27,https://jobright.ai/jobs/info/67c0d4765091b259c0a9d8af?utm_source=1100&utm_campaign=pm,Hybrid,United States,Epicor,5001-10000,"CRM,Retail",$40K-$100K /yr,"1. Strong organizational, project management and time management skills.
2. Customer centric, results oriented, self-starter and able to work independently.
3. Excellent communication, interpersonal and presentation skills both written and verbal.
4. Manages expectations and establishes solid working relationships through the management level.
5. Familiar with remote work environments and capable of working in a virtual office environment.
...",no,yes
Assistant Project Manager,2025-02-27,https://jobright.ai/jobs/info/67c0b729c03cfb90975da5ef?utm_source=1100&utm_campaign=pm,On Site,"Arlington, VA",AECOM,10000+,"Civil Engineering,Construction",$72300-$133810 /yr,"1. BA/BS in Construction Management, Civil Engineering, Architecture, or a related field or demonstrated equivalency of experience and/or education
2. Ability to work at the Client’s site or travel as needed
3. Familiarity with project management software (e.g., Kahua, Procore, Bluebeam, MS Project, Primavera 6)",no,yes
Renovation Project Manager,2025-02-27,https://jobright.ai/jobs/info/67c0aa8521e88db573846d7e?utm_source=1100&utm_campaign=pm,On Site,"Ramsey, NJ",Dasmen Residential,251-500,"Property Management,Real Estate",$55K-$55K /yr,"1. Excellent communication skills are crucial for liaising with internal teams, external contractors, vendors, stakeholders, and clients. The ability to convey information clearly and diplomatically, both verbally and in writing, is essential.
2. A keen eye for detail is important for ensuring accuracy in project documentation, budgeting, scheduling, and quality control.
3. Willing to travel",not sure,
Assoc Project Manager I,2025-02-27,https://jobright.ai/jobs/info/67c03bcb2c62370772189dbe?utm_source=1100&utm_campaign=pm,On Site,"Vancouver, WA",MasTec,10000+,"Construction,Energy",$78K-$78K /yr,"1. General understanding of construction and utility industry practices
2. Exposure to Critical Path Scheduling software and MS Office Suite
3. Completion of 3 H&M PMP online courses to earn Associates Certificate
4. Broad problem-solving skills
5. BS degree in Project Management, Construction Management, Engineering, Business or other applicable fields of study
...",not sure,
Assoc Project Manager I,2025-02-27,https://jobright.ai/jobs/info/67c120091b9ab4b1288d9d80?utm_source=1100&utm_campaign=pm,On Site,"Vancouver, WA","Henkels & McCoy, Inc.",51-100,Construction,$78K-$78K /yr,"1. General understanding of construction and utility industry practices
2. Exposure to Critical Path Scheduling software and MS Office Suite
3. Completion of 3 H&M PMP online courses to earn Associates Certificate
4. Broad problem-solving skills
5. BS degree in Project Management, Construction Management, Engineering, Business or other applicable fields of study
...",not sure,
Facilities Project Management Coordinator,2025-02-26,https://jobright.ai/jobs/info/67c01a9068fd30140f1122fb?utm_source=1100&utm_campaign=pm,On Site,"Santa Clarita, CA",Logix Federal Credit Union,501-1000,"Banking,Financial Services",$24-$36 /hr,"1. 0-3 years of experience project managing tenant improvement construction projects, capital maintenance and emergency power systems
2. Demonstrated experience and knowledge of HVAC systems, lighting controls, plumbing and electrical systems
3. Entry level experience in interacting with general contractors, engineers, architects, FF&E (Furniture, Fixtures & Equipment) dealers
4. Ability to manage multiple projects, deliverables, schedules, and budgets simultaneously
5. Ability to support common goals and embrace team achievement over individual goals
...",not sure,yes
MyDining Project Manager Remote DIETITIAN - HRLY,2025-02-26,https://jobright.ai/jobs/info/67bfea4863b3a5e740fe7330?utm_source=1100&utm_campaign=pm,Remote,"Renton, WA",Compass One Healthcare,10000+,"Health Care,Medical",$35-$40 /hr,"1. Credentialed as a Registered Dietitian by the Commission on Dietetic Registration (CDR)
2. Licensed by the State Dietetics Licensing/Credentialing Board, in states where required
3. Possess the necessary skills to effectively utilize Microsoft office applications, electronic medical record & diet office systems, and nutrient analysis programming",not sure,
Junior Project Manager - New Grad,2025-02-26,https://jobright.ai/jobs/info/67bfea5d5511c370600652e7?utm_source=1100&utm_campaign=pm,Hybrid,United States,Ciena,5001-10000,"Collaboration,Delivery",$55K-$89K /yr,"1. Customer-focused with strong problem-solving, decision-making, and critical thinking skills.
2. Proficient in organizational structure, planning, and project coordination.
3. Effective communicator with outstanding leadership and team-building abilities.
4. Experienced in resource management, outsourcing, and proficient with Microsoft Office.
5. Knowledgeable in JIT concepts and able to learn project management software packages.",not sure,yes
Office Project Coordinator,2025-02-26,https://jobright.ai/jobs/info/67bff1fc2d7916a7d8893aaf?utm_source=1100&utm_campaign=pm,Hybrid,"Cincinnati, OH",Cincinnati Symphony Orchestra,51-100,Music,$40K-$45K /yr,"1. Ability to work independently, set priorities, multi-task and use independent judgment while keeping Supervisor informed of work activity and issues.
2. Ability to work cross departmentally with a variety of constituents including staff, volunteers, donors, and prospects.
3. Experience staying organized, problem solving and making sound decisions.
4. Excellent verbal and written communications skills with experience preparing external communications.
5. Ability to work 10 to 20 events outside traditional business hours on nights and weekends, during the concert season.
...",not sure,
Project Management 1 - R10183412,2025-02-26,https://jobright.ai/jobs/info/67bfc951ab3efd9965b9729b?utm_source=1100&utm_campaign=pm,On Site,"San Diego, CA",Northrop Grumman,10000+,"Aerospace,Data Integration",$61K-$92K /yr,"1. Bachelor’s degree with 6 months’ relevant experience. 4 years’ experience may be considered in lieu of degree
2. Demonstrated experience managing multiple administrative projects and initiatives.
3. Experience with MS Office Suite (Word, Excel, PowerPoint, Outlook, Access).
4. Travel up to 10% may be required
5. U.S. Citizenship required.
...",no,yes
Project Coordinator,2025-02-26,https://jobright.ai/jobs/info/67bfe2663b566b692f8fdee9?utm_source=1100&utm_campaign=pm,On Site,"Moscow, ID","Alturas Analytics, Inc.",11-50,"Analytics,Biotechnology","$56,525-$56,525 /yr","1. Bachelor’s degree in science, business, or related field
2. Working knowledge of Windows OS, MS Office suite, and MS project
3. Skills in verbal and written communication
4. Skills in problem solving
5. Ability to take responsibility and function under minimal supervision
...",no,
Project Assistant (M&C Region 1 & 2),2025-02-26,https://jobright.ai/jobs/info/67bfe2663b566b692f8fdfc9?utm_source=1100&utm_campaign=pm,Hybrid,"Austin, TX",Texas Health and Human Services,,Health Care,$4263-$6779 /mon,"1. Experience performing administrative/office functions in a project management office for a contractor, owner representative, or an owner.
2. Prefer experience in processing project documentation (submissions, reports, drawings, warranty/preventative maintenance documentation, or issue logs).
3. Knowledge of project management theories and practices applicable to limited-scope projects; systems and procedures used to evaluate a third-party vendor’s performance; and local, state, and federal laws and regulations relevant to the administration of the project undertaken.
4. Skill in basic project management monitoring and in the use of a computer and applicable software.
5. Ability to exercise sound judgment in making critical decisions, to analyze complex information and develop plans to address identified issues, to demonstrate negotiation and facilitation skills, to identify project risks, to prepare reports and charts, to communicate effectively, and to assign duties and responsibilities and coordinate the work of project staff.",not sure,
Project Assistant (M&C Region 3&4),2025-02-26,https://jobright.ai/jobs/info/67bfe2663b566b692f8fdfd0?utm_source=1100&utm_campaign=pm,Hybrid,"Austin, TX",Texas Health and Human Services,,Health Care,$4263-$6779 /mon,"1. Knowledge of project management theories and practices applicable to limited-scope projects; systems and procedures used to evaluate a third-party vendor’s performance; and local, state, and federal laws and regulations relevant to the administration of the project undertaken.
2. Skill in basic project management monitoring and in the use of a computer and applicable software.
3. Ability to exercise sound judgment in making critical decisions, to analyze complex information and develop plans to address identified issues, to demonstrate negotiation and facilitation skills, to identify project risks, to prepare reports and charts, to communicate effectively, and to assign duties and responsibilities and coordinate the work of project staff.",not sure,
"Senior Associate, Client Project Management",2025-02-26,https://jobright.ai/jobs/info/67bfbea0dd43429077fa23c7?utm_source=1100&utm_campaign=pm,Hybrid,"New York, NY",Starcom,1001-5000,"Advertising,Brand Marketing",$62K-$72K /yr,"1. 1+ years of Project Management experience
2. Previous experience working on projects for media advertising
3. Mastery of small- and mid-level projects (e.g., product development, data integration, process improvement)
4. Experience with multiple project management methodologies (i.e. Waterfall, Agile)
5. Strong written and oral presentation skills
...",not sure,
Project Coordinator,2025-02-26,https://jobright.ai/jobs/info/67b015cd2bbaa11e73888e2c?utm_source=1100&utm_campaign=pm,On Site,"Multi Location
Cranberry Township, PA
Nashville, TN",LAKE SUPERIOR CONSULTING,251-500,"Construction,Consulting",$60K-$69K /yr,"1. Bachelor’s degree or equivalent education in related field.
2. General interest in Project Management.
3. Proficiency with MS Office, MS Word, MS Project, and MS Excel.
4. Strong verbal and written communication skills
5. Strong customer service skills.
...",not sure,
Interface Project Manager II,2025-02-26,https://jobright.ai/jobs/info/67bf7a63e74798e1dd9b74bb?utm_source=1100&utm_campaign=pm,On Site,"322 N 2200 W, Salt Lake City, UT, 84116, US",Myriad Genetics,1001-5000,"Biotechnology,Pharmaceutical",$87800-$105300 /yr,"1. 1-3+ years of experience in healthcare, with direct exposure to EMR and/or LIS systems.
2. Proven drive to streamline processes and minimize repetitive work.
3. Demonstrated success delivering impeccable customer support in a complex operational and technical environment.
4. Comfort with balancing several commitments and proactively advancing long-term initiatives, while tackling emergent day-to-day demands.
5. Exceptional written and verbal communication skills, with a customer-centric mindset.
...",not sure,
Associate Project Manager,2025-02-26,https://jobright.ai/jobs/info/67bf8810cd445ae9c3326cb4?utm_source=1100&utm_campaign=pm,Hybrid,"City of Washington County, DC",Vision Technologies,501-1000,"Audio,Information Technology",$70K-$90K /yr,"1. High school graduate, holder of G.E.D., or equivalent studies/experience required.
2. Experience in developing project plans, timelines and budgets
3. Experience managing resources, timelines or budgets
4. Experience identifying assessing and mitigating risks.
5. Excellent Written and verbal communication
...",not sure,
Ops Project Coordinator,2025-02-26,https://jobright.ai/jobs/info/67a331177dcb937a0819f618?utm_source=1100&utm_campaign=pm,Hybrid,"Rosemead, CA",Panda Restaurant Group,5001-10000,Restaurants,$28-$35 /hr,"1. If hired, successful completion of annual store training
2. Obtaining a valid Food Handler's Card within 30 days of employment is a requirement of this position
3. Effective verbal communication skills
4. Ability to adapt to a dynamic environment with changing priorities
5. Ability to manage conflicts/difficult situations
...",not sure,
Project Coordinator SR&A,2025-02-26,https://jobright.ai/jobs/info/67bf7cfd815e53da6a9954c5?utm_source=1100&utm_campaign=pm,On Site,"Phoenix, AZ","Health Services Advisory Group, Inc. (HSAG)",251-500,"Health Care,Hospital",$62K-$65K /yr,"1. Bachelor’s degree in business, healthcare, or other related field.
2. Excellent oral and written communication and interpersonal skills.
3. Minimum of one-year project coordination experience.
4. Proficient with word processing, spreadsheet programs, and database programs (Microsoft Office).",not sure,
Marketing Project Manager,2025-02-26,https://jobright.ai/jobs/info/67bf6cf79d9231d04a5444d4?utm_source=1100&utm_campaign=pm,Remote,United States,SALT Lending,51-100,"Asset Management,Blockchain",$50K-$70K /yr,"1. 1-3+ years of experience in marketing, preferably in fintech, crypto, or financial services.
2. Strong understanding of project management, digital marketing, content strategy, and social media management.
3. Familiarity with G-Suite, Slack, and a Project Management tool like Asana or Trello (Jira/Confluence an extra bonus!)
4. Experience running paid campaigns and analyzing performance data.
5. Excellent writing and communication skills.
...",not sure,
Acquisition Design Coordinator,2025-02-26,https://jobright.ai/jobs/info/67a27f48323cadc0c08ed7db?utm_source=1100&utm_campaign=pm,On Site,"Denver, CO",Fairfield Residential,1001-5000,"Asset Management,Construction",$26-$30 /hr,"1. BA/BS Undergraduate
2. Microsoft Office
3. Bluebeam Revu
4. Photoshop
5. Great collaborator and team player
...",not sure,
Project Director,2025-02-26,https://jobright.ai/jobs/info/67bf63bbbf38b04fbe01254f?utm_source=1100&utm_campaign=pm,Hybrid,"Doylestown, PA",Omnicom Health Group,1001-5000,"Communications Infrastructure,Health Care",$60K-$75K /yr,"1. Bachelor’s Degree plus a minimum of 1 year of experience in market research, knowledge of pharma/biotech industries a plus
2. Creative, innovative and analytical thinker with outstanding communications and organization skills
3. Highly skilled in Power Point, Word, Excel, and other relevant software
4. Development of a solid understanding of good research practices and demonstrated ability to serve as a Co-Project Manager and back-up on multiple projects simultaneously
5. Quantitative Project Directors will begin their tenure with Adelphi Research in Quantitative research but will also be exposed to qualitative research. It is expected that a Quantitative Project Director will become proficient in their primary area and gain a basic level of knowledge in the qualitative area
...",not sure,
Project Director,2025-02-26,https://jobright.ai/jobs/info/67bf63bbbf38b04fbe012573?utm_source=1100&utm_campaign=pm,Hybrid,"Doylestown, PA",Adelphi Research,101-250,"Consulting,Electronic Health Record (EHR)",$60K-$75K /yr,"1. Bachelor’s Degree plus a minimum of 1 year of experience in market research, knowledge of pharma/biotech industries a plus
2. Creative, innovative and analytical thinker with outstanding communications and organization skills
3. Highly skilled in Power Point, Word, Excel, and other relevant software
4. Development of a solid understanding of good research practices and demonstrated ability to serve as a Co-Project Manager and back-up on multiple projects simultaneously
5. Quantitative Project Directors will begin their tenure with Adelphi Research in Quantitative research but will also be exposed to qualitative research. It is expected that a Quantitative Project Director will become proficient in their primary area and gain a basic level of knowledge in the qualitative area
...",not sure,
Project Manager I,2025-02-26,https://jobright.ai/jobs/info/67a875c19155e95125254851?utm_source=1100&utm_campaign=pm,On Site,"Sonoma County, CA",Partnership HealthPlan of California,501-1000,"Health Care,Insurance",$85K-$106K /yr,"1. Bachelor’s degree and at least one (1) year of relevant project management experience required
2. In lieu of a degree, a minimum of three (3) years of relevant project management experience will be considered
3. Experience managing multiple projects with medium to large teams
4. Strong communication skills, both verbal and written, to interpret and articulate project requirements to involved stakeholders
5. Exceptional interpersonal and customer service skills
...",not sure,
Hiring Solar Electrical Project Manager - Washburn IL,2025-02-26,https://jobright.ai/jobs/info/67bf502b1d33b35bbd6865c7?utm_source=1100&utm_campaign=pm,On Site,"Washburn, IL",SPEC Oil and Gas,101-250,"Infrastructure,Oil and Gas",$40-$40 /hr,"1. Must have 6+ months of solar project management experience
2. Collaborate with field teams to ensure the availability of all necessary resources for project success
3. Take on increasing responsibility for project tasks such as scheduling, budget control, on-time project delivery, and maximizing gross profits
4. Ensure all employees working on the project adhere to safety protocols at all times
5. Oversee the production and scheduling of subcontractors and field personnel
...",not sure,
"Senior Analyst, Strategy Project Management",2025-02-26,https://jobright.ai/jobs/info/67a3716e43a5ed245d9f4a6e?utm_source=1100&utm_campaign=pm,Hybrid,NYC Metro Area,Macy's,10000+,"Consumer Goods,Fashion",$103K-$172K /yr,"1. Bachelor's degree or equivalent work experience in a related field.
2. 0-2 years of experience in project coordination or related roles.
3. Ability to manage multiple tasks and projects simultaneously with efficiency.
4. Expertise in using project management tools like Asana, Trello, or Microsoft Project to manage project workflows.
5. Ability to communicate clearly and consistently with stakeholders, ensuring alignment and understanding.
...",not sure,yes
Graduate Project Manager - 2025,2025-02-26,https://jobright.ai/jobs/info/67a27cbe1c6e120316045891?utm_source=1100&utm_campaign=pm,On Site,"New York, NY",Mott MacDonald,5001-10000,"Consulting,Developer Platform",$66K-$81K /yr,"1. A bachelor's or master's degree in project management, or a related field, from an accredited university
2. Methodical approach to problem solving to undertake tasks efficiently and independently
3. Excellent verbal communication skills, which allow you to confidently liaise with clients and team members
4. Excellent technical written communication and attention to detail, with an ability to demonstrate accurate technical drawings and good report writing
5. Excellent teamwork skills, collaborates effectively with colleagues",not sure,yes
Project Specialist I,2025-02-26,https://jobright.ai/jobs/info/67a858d92383b9299fcc0d64?utm_source=1100&utm_campaign=pm,On Site,"Los Angeles, CA","E2 Consulting Engineers, Inc.",251-500,Environmental Engineering,$60K-$80K /yr,"1. Must have good writing skills, and the ability to follow established standards.
2. Must be willing to travel to job sites around Southern California
3. Must have the ability to balance multiple priorities.",not sure,
Project Manager,2025-02-25,https://jobright.ai/jobs/info/67bef2a8a5865a9d9573862b?utm_source=1100&utm_campaign=pm,Hybrid,"Columbus, OH",Nationwide Energy Partners,51-100,"Energy,Water",$61500-$70000 /yr,"1. Bachelor’s degree in Construction Management, Business Administration, or a related discipline
2. One (1) to two (2) years of experience in business analysis, project management, or a related field required
3. Excellent organizational skills and attention to detail
4. Strong communication skills, both verbal and written
5. Ability to work independently and manage multiple project deadlines
...",not sure,
Health Informatics and Metrics Project Coordinator,2025-02-25,https://jobright.ai/jobs/info/67bef2a8a5865a9d95738620?utm_source=1100&utm_campaign=pm,On Site,"Seattle, WA",Sea Mar Community Health Centers,1001-5000,"Dental,Health Care",$26.44-$26.44 /hr,"1. Knowledge of patient care processes, clinical procedures, and medical terminology.
2. Working knowledge of HEDIS, Meaningful Use, UDS, and PCMH measures
3. Ability to develop successful interpersonal and professional relationships with diverse populations (leaders, clinical, and non-clinical staff)
4. Excellent verbal and written communication skills including ability to compile, interpret and utilize information, and to effectively communicate with people of all backgrounds and education levels
5. Ability to extract and interpret clinical information
...",not sure,
Engineering Project Manager (Flex),2025-02-25,https://jobright.ai/jobs/info/67be73e9e6efbf73128a4e5e?utm_source=1100&utm_campaign=pm,On Site,Juneau,NEOGOV,501-1000,"GovTech,Human Resources",$34.87-$55.68 /hr,"1. Bachelor of Science or Bachelor of Arts degree from an accredited college in Engineering, Land Surveying, or Construction Management or a similar course of study.
2. Progressively responsible experience in the practice of engineering, or journey level construction in one or more of the following fields: engineering design, drafting, surveying, inspection, construction management, materials testing, plan review, plan interpretation, or construction documents preparation may be substituted on a year for year basis.
3. Successful completion of either the Fundamentals of Engineering (FE) or Fundamentals of Surveying (FS) Examination may be substituted for the education.
4. Requires a valid Drivers’ License at time of appointment and for continued employment.
5. Persons not registered in the State of Alaska must be registered in a state recognized by the State Board of Registration for Architects, Engineers and Land Surveyors eligible for comity in accordance with AS 08.48.191(b).
...",not sure,
Project Leader,2025-02-25,https://jobright.ai/jobs/info/67be826dcd3c190d81e7eb33?utm_source=1100&utm_campaign=pm,Hybrid,"Hartford, CT",Travelers,10000+,"Auto Insurance,Insurance",$69K-$113K /yr,"1. High School diploma or equivalent required
2. 1 year of project management experience required
3. Ability to work across multiple areas, lead others, influence without authority, and drive outcomes
4. Ability to adjust with new demand
5. Organized with diligent follow through skills on a diverse set of tasks
...",not sure,
Associate Project Manager Series - Bus Process Reengineering,2025-02-25,https://jobright.ai/jobs/info/67be78f9ac04acdcaae0a38b?utm_source=1100&utm_campaign=pm,On Site,"Brooklyn, NY",Metropolitan Transportation Authority,10000+,"Association,Public Transportation",$76K-$101K /yr,"1. ONE (1) year of full-time satisfactory experience in supervising employees performing project management work, such as planning, administering, managing, coordinating, or expediting, on engineering and/or architectural and/or landscape architectural projects, or supervising a construction project with a value of $1,000,000 or more
2. A baccalaureate degree from an accredited college in engineering, architecture, landscape architecture, business administration or public administration, and one year of full-time satisfactory experience in project management work, such as planning, administering, managing, coordinating, or expediting, for engineering and/or architectural and/or landscape architectural projects
3. A four-year high school diploma or its educational equivalent and five years of experience as described in '1' above
4. A four-year high school diploma or its educational equivalent approved by the department of education of a state or a recognized accrediting organization plus any combination of experience and/or college education as described in '1' above to make up the equivalent of FIVE (5) years of education and experience
5. ONE (1) year of experience credit will be given for: (a) each 30 semester credits of college education leading to a baccalaureate degree from an accredited college in engineering, architecture, landscape architecture, business administration, public administration or a related field; (b) a Master’s degree from an accredited university in one of the disciplines described in '1' above; or (c) a valid New York State license as a Professional Engineer, Registered Architect or Registered Landscape Architect
...",not sure,
Project Manager - Technology Process - Contract,2025-02-25,https://jobright.ai/jobs/info/67be6f66a26f73013ec7ad7c?utm_source=1100&utm_campaign=pm,Hybrid,"Multi Location
Chicago, IL
San Francisco, CA
Scottsdale, AZ",Early Warning®,251-500,"Financial Services,Fraud Detection",$75K-$120K /yr,"1. Education and experience typically obtained through completion of a Bachelors degree or equivalent.
2. 1 or more years Project Management or related work experience.
3. Working knowledge of Agile management tools (e.g. JIRA)
4. Demonstrated ability to lead efficient agile teams and achieve business objectives
5. Ability to build professional relationships within Project Management function and cross functional teams
...",no,
Project Support Assistant,2025-02-25,https://jobright.ai/jobs/info/67be78f9ac04acdcaae0a409?utm_source=1100&utm_campaign=pm,Hybrid,"Frederick, MD",General Dynamics Information Technology,10000+,"Artificial Intelligence (AI),Cloud Computing",$19-$22 /hr,"1. 1 + years of related experience
2. Strong organizational skills and attention to detail
3. Ability to prioritize and execute high volume of tasks and activities
4. MS office suite experience, including MS Word, Excel, Outlook, SharePoint and PowerPoint
5. High School Diploma + 1 year of related experience
...",no,
"Associate Project Manager, PD Operations",2025-02-25,https://jobright.ai/jobs/info/67be78f9ac04acdcaae0a5e1?utm_source=1100&utm_campaign=pm,Hybrid,"Issaquah, WA",SanMar,1001-5000,"Apparel,Fashion",$32-$38 /hr,"1. Bachelor's Degree or equivalent experience.
2. Experience in project management or project coordination.
3. Willing to take initiative to identify and anticipate improvement opportunities and make recommendations for implementation.
4. Attention to detail and accuracy.
5. Must thrive in a fast-paced environment with limited supervision and quickly comprehend and act on changing priorities when necessary.
...",not sure,
Jr. Technology Client Care & CMMS System Administrator,2025-02-25,https://jobright.ai/jobs/info/67be6064d111079a283e150f?utm_source=1100&utm_campaign=pm,On Site,"St Louis, MO",Cushman & Wakefield,10000+,"Commercial,Commercial Real Estate",$68K-$80K /yr,"1. Strong understanding of FAMIS 360 and related integrated systems.
2. Self-driven, organized, and able to work in a fast-paced environment.
3. Excellent communication skills and ability to work collaboratively with cross-functional teams.
4. Proficiency in system administration tasks, including user management and configuration.
5. Detail-oriented and proactive in addressing system-related issues.
...",not sure,
Project Coordinator I,2025-02-25,https://jobright.ai/jobs/info/67be78f9ac04acdcaae0a727?utm_source=1100&utm_campaign=pm,On Site,"Rochester, MN",Kraus-Anderson,251-500,"Association,Building Material",$22-$30 /hr,"1. A minimum of 1-2 years in administrative work, preferably construction-related work
2. Knowledge of Project Management software, Bluebeam extreme (or equivalent), Excel, Word, Outlook
3. Demonstrates good verbal and written communication skills, including ability to effectively communicate with internal and external customers
4. Ability to work under pressure, meet deadlines, and prioritize tasks appropriately, while maintaining a positive attitude and providing exemplary customer service
5. Ability to use time productively, maximize efficiency and meet challenging work goals
...",not sure,
"Associate Project Manager, PD Operations",2025-02-25,https://jobright.ai/jobs/info/67be663da4a8d1448bb63501?utm_source=1100&utm_campaign=pm,On Site,"Issaquah, WA",SanMar,1001-5000,"Apparel,Fashion",$32.56-$38.46 /hr,"1. Bachelor's Degree or equivalent experience
2. Experience in project management or project coordination
3. Willing to take initiative to identify and anticipate improvement opportunities and make recommendations for implementation
4. Attention to detail and accuracy
5. Must thrive in a fast-paced environment with limited supervision and quickly comprehend and act on changing priorities when necessary
...",not sure,
